"","num","equal","phenotype","test_result_threshold_mic_sensitive_max","test_result_threshold_mic_intermediate_min","test_result_threshold_mic_intermediate_max","test_result_threshold_mic_resistant_min","n"
"1",0.06,"<=","S",0.125,0.25,0.25,0.5,4
"2",0.12,"<=","S",0.25,0.5,1,2,130
"3",0.12,"<=","S",0.5,1,2,4,198
"4",0.12,"<=","S",1,2,2,4,197
"5",0.125,"<=","S",0.25,0.5,1,2,15
"6",0.125,"<=","S",0.5,1,2,4,40
"7",0.125,"<=","S",1,2,2,4,41
"8",0.13,"<=","S",0.25,0.5,1,2,3
"9",0.13,"<=","S",0.5,1,2,4,2
"10",0.13,"<=","S",1,2,2,4,2
"11",0.25,"<=","NI",0.03,0.06,0.125,0.25,3
"12",0.25,"<=","NI",0.125,0.25,0.25,0.5,126
"13",0.25,"<=","S",0.25,0.5,0.5,1,5
"14",0.25,"<=","S",0.25,0.5,1,2,259
"15",0.25,"<=","S",0.5,1,2,4,1
"16",0.25,"<=","S",2,4,4,8,62
"17",0.25,"=","S",0.25,0.5,1,2,7
"18",0.25,"=","S",0.5,1,2,4,7
"19",0.25,"=","S",1,2,2,4,6
"20",0.5,"=","I",0.25,0.5,0.5,1,1
"21",0.5,"=","I",0.25,0.5,1,2,2
"22",0.5,"=","R",0.03,0.06,0.125,0.25,1
"23",0.5,"=","R",0.125,0.25,0.25,0.5,4
"24",0.5,"=","S",0.5,1,2,4,9
"25",0.5,"=","S",1,2,2,4,9
"26",0.5,"=","S",2,4,4,8,263
"27",1,"<=","S",1,2,2,4,1
"28",1,"<=","S",1,2,4,8,250
"29",1,"<=","S",2,4,4,8,264
"30",1,"<=","S",16,NA,NA,32,9
"31",1,"=","I",0.25,0.5,1,2,3
"32",1,"=","I",0.5,1,2,4,2
"33",1,"=","R",0.03,0.06,0.125,0.25,4
"34",1,"=","R",0.125,0.25,0.25,0.5,2
"35",1,"=","R",0.25,0.5,0.5,1,23
"36",1,"=","S",1,2,2,4,2
"37",1,"=","S",2,4,4,8,82
"38",1,"=","S",8,NA,NA,NA,4
"39",2,"<=","NI",0.125,0.25,0.25,0.5,93
"40",2,"<=","S",2,4,4,8,2
"41",2,"<=","S",4,8,8,16,3
"42",2,"=","I",0.5,1,2,4,1
"43",2,"=","I",1,2,2,4,2
"44",2,"=","I",1,2,4,8,6
"45",2,"=","R",0.03,0.06,0.125,0.25,47
"46",2,"=","R",0.125,0.25,0.25,0.5,2
"47",2,"=","R",0.25,0.5,0.5,1,137
"48",2,"=","R",0.25,0.5,1,2,6
"49",2,"=","S",2,4,4,8,82
"50",2,"=","S",8,NA,NA,NA,33
"51",2,"=","S",16,NA,NA,32,31
"52",2,">","R",0.125,0.25,0.25,0.5,15
"53",2,">","R",0.25,0.5,1,2,40
"54",4,"<=","NI",2,4,4,8,110
"55",4,"<=","S",4,8,8,16,411
"56",4,"=","I",1,2,4,8,2
"57",4,"=","I",2,4,4,8,56
"58",4,"=","R",0.03,0.06,0.125,0.25,42
"59",4,"=","R",0.125,0.25,0.25,0.5,10
"60",4,"=","R",0.25,0.5,0.5,1,198
"61",4,"=","S",8,NA,NA,NA,81
"62",4,"=","S",16,NA,NA,32,24
"63",4,">","R",0.125,0.25,0.25,0.5,20
"64",4,">","R",0.5,1,2,4,41
"65",4,">","R",1,2,2,4,41
"66",8,"<=","S",8,16,16,32,181
"67",8,"=","I",4,8,8,16,23
"68",8,"=","R",0.03,0.06,0.125,0.25,3
"69",8,"=","R",0.125,0.25,0.25,0.5,4
"70",8,"=","R",0.25,0.5,0.5,1,55
"71",8,"=","R",1,2,4,8,1
"72",8,"=","R",2,4,4,8,73
"73",8,"=","S",8,NA,NA,NA,27
"74",8,"=","S",16,NA,NA,32,33
"75",8,">","NI",8,NA,NA,NA,54
"76",8,">","R",0.125,0.25,0.25,0.5,3
"77",8,">","R",0.25,0.5,0.5,1,156
"78",8,">","R",1,2,4,8,41
"79",8,">","R",2,4,4,8,164
"80",16,"<=","NI",4,8,8,16,1
"81",16,"=","I",8,16,16,32,4
"82",16,"=","R",0.03,0.06,0.125,0.25,1
"83",16,"=","R",0.125,0.25,0.25,0.5,9
"84",16,"=","R",2,4,4,8,7
"85",16,"=","R",4,8,8,16,13
"86",16,"=","S",16,NA,NA,32,1
"87",16,">","NI",16,NA,NA,32,18
"88",16,">","R",0.03,0.06,0.125,0.25,96
"89",16,">","R",0.125,0.25,0.25,0.5,27
"90",16,">","R",0.25,0.5,0.5,1,1
"91",16,">","R",2,4,4,8,70
"92",16,">","R",4,8,8,16,17
"93",32,"=","R",0.25,0.5,0.5,1,1
"94",32,"=","R",2,4,4,8,1
"95",32,"=","R",4,8,8,16,2
"96",32,"=","R",8,16,16,32,6
"97",32,">","R",0.25,0.5,0.5,1,41
"98",32,">","R",2,4,4,8,37
"99",32,">","R",4,8,8,16,1
"100",32,">","R",16,NA,NA,32,16
"101",64,">","R",8,16,16,32,3
